-72.60894,-38.74683
-72.60907,-38.74679
-72.60907,-38.7466
-72.60908,-38.74647
-72.60908,-38.74646
-72.60908,-38.746
-72.60907,-38.74585
-72.60908,-38.74573
-72.60907,-38.74567
-72.60905,-38.7456
-72.60902,-38.7455
-72.609,-38.74545
-72.60897,-38.74539
-72.60895,-38.74534
-72.60892,-38.7453
-72.60886,-38.74523
-72.60877,-38.74515
-72.60845,-38.74491
-72.60807,-38.74464
-72.60739,-38.74412
-72.60704,-38.74387
-72.60694,-38.7438
-72.60683,-38.74372
-72.60614,-38.7432
-72.60569,-38.74286
-72.60561,-38.7428
-72.60552,-38.74274
-72.60528,-38.74256
-72.60436,-38.74192
-72.604,-38.74167
-72.60378,-38.74151
-72.60346,-38.74128
-72.60284,-38.74081
-72.60275,-38.74074
-72.60215,-38.74043
-72.60121,-38.73992
-72.60026,-38.7395
-72.60014,-38.73943
-72.59964,-38.7391
-72.59938,-38.73897
-72.5986,-38.7386
-72.59856,-38.73858
-72.59801,-38.73828
-72.59767,-38.73809
-72.59715,-38.73781
-72.59654,-38.73747
-72.59559,-38.73696
-72.59539,-38.73686
-72.59496,-38.73663
-72.59452,-38.7367
-72.5941,-38.73676
-72.59272,-38.73698
-72.59145,-38.73717
-72.59114,-38.73722
-72.59014,-38.73735
-72.5888,-38.73754
-72.58744,-38.73773
-72.58621,-38.73794
-72.58617,-38.73795
-72.58593,-38.73798
-72.58572,-38.73801
-72.58481,-38.73814
-72.5835,-38.73833
-72.58327,-38.73837
-72.5822,-38.73852
-72.58178,-38.73856
-72.58171,-38.73857
-72.58166,-38.73851
-72.5816,-38.73846
-72.58137,-38.73831
-72.58099,-38.73802
-72.58084,-38.73789
-72.58071,-38.73776
-72.58033,-38.73744
-72.57964,-38.73682
-72.57933,-38.73654
-72.57914,-38.73638
-72.57874,-38.73603
-72.57815,-38.73547
-72.57768,-38.73507
-72.57756,-38.73496
-72.57743,-38.73484
-72.57721,-38.73465
-72.57705,-38.73451
-72.57689,-38.73441
-72.57689,-38.7344
-72.57683,-38.73434
-72.57677,-38.73427
-72.57673,-38.73423
-72.57633,-38.73387
-72.57579,-38.73339
-72.57562,-38.73317
-72.57549,-38.733
-72.57518,-38.7328
-72.57497,-38.7327
-72.57478,-38.73267
-72.57454,-38.73266
-72.5744,-38.73266
-72.57435,-38.73265
-72.57427,-38.73263
-72.57425,-38.73262
